episode,sarsa_mean,sarsa_std,random_mean,random_std,sarsa_success_rate,random_success_rate
0,-1106.4,31.658174299855002,-1145.6,170.65708306425492,0.0,0.0
1,-920.0,56.34181395730883,-1238.4,156.63664960666134,0.0,0.0
2,-881.6,38.748419322599474,-1148.8,116.43779455142561,0.0,0.0
3,-780.0,55.07812632978722,-1134.4,130.19615969758863,0.0,0.0
4,-800.8,108.38154824507721,-1366.4,208.68502581642028,0.0,0.0
5,-744.8,81.32502689824332,-1084.8,121.2046203739775,0.0,0.0
6,-797.6,96.38589108370581,-1160.8,173.77502697453394,0.0,0.0
7,-684.0,94.14881836751856,-1111.2,72.23960132780358,0.0,0.0
8,-667.2,84.86789734640537,-1111.2,103.73504711523488,0.0,0.0
9,-641.6,61.480403381890724,-1190.4,135.02236851722014,0.0,0.0
10,-655.2,97.04102225347793,-1112.0,165.69852141766384,0.0,0.0
11,-668.8,35.18181348367363,-1224.8,132.91561232601686,0.0,0.0
12,-654.4,21.850400453996258,-1204.8,152.40787381234605,0.0,0.0
13,-673.6,88.31217356627567,-1153.6,92.52372668672615,0.0,0.0
14,-694.4,96.45226798784982,-1186.4,38.74841932259947,0.0,0.0
15,-721.6,52.067648304873536,-1106.4,93.10982762308176,0.0,0.0
16,-652.8,29.545896500191017,-1154.4,113.12577071560662,0.0,0.0
17,-648.8,65.6,-1068.0,137.59069735995962,0.0,0.0
18,-735.2,102.0243108283511,-1201.6,146.89533688990946,0.0,0.0
19,-687.2,73.73031940796133,-1056.0,215.80732146987043,0.0,0.0
20,-612.0,39.5170849127311,-1113.6,185.94794970636272,0.0,0.0
21,-616.8,30.082553083141068,-1182.4,128.78757704064472,0.0,0.0
22,-630.4,52.617867687697114,-1136.8,91.82243734512824,0.0,0.0
23,-700.0,100.33543740872415,-1121.6,139.7277352568201,0.0,0.0
24,-656.8,51.249975609750294,-1099.2,141.13596281600235,0.0,0.0
25,-656.0,21.316660151158764,-1271.2,141.56609763640446,0.0,0.0
26,-638.4,28.5769137591868,-1106.4,124.20885636700791,0.0,0.0
